objective_value,dual_bound,solution,time,termination,nodes,num_blocked_cycles
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-6.859999999999999,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,3.43,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,-0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
0.0,0.8769972144245028,0.0,1800.56029,TIME_LIMIT,38,500
