objective_value,dual_bound,solution,time,termination,nodes,num_blocked_cycles
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-4.2994267757993816e-14,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,-6.859999999998697,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
0.0,0.8769972143134575,0.0,601.580599,TIME_LIMIT,19,5
